marca,precoComDesconto,precoSemDesconto,Condicao,VENDIDO,tamanho_mapeado,Cores_Agrupadas
3721,3600.0,12000.0,4,1,2,18
1564,38.0,89.99,1,0,3,21
8383,23.9,89.9,0,0,3,14
5395,12000.0,39000.0,4,1,3,2
2294,12500.0,15467.566824463362,4,1,0,19
1638,7000.0,40000.0,4,1,3,9
4176,45.0,149.99,0,0,3,1
3474,8500.0,25500.0,4,1,4,1
3540,1.4,4.1,4,1,4,12
9439,13000.0,39000.0,4,1,4,14
523,10000.0,32000.0,3,0,3,1
6619,35100.0,15467.566824463362,2,0,3,2
8094,30.0,89.99,0,1,3,1
8094,11.13,69.9,0,0,2,5
1347,63.75,300.0,0,0,4,21
5802,20.97,59.9,0,1,2,14
1638,10000.0,37000.0,4,0,3,1
6067,3000.0,9000.0,4,1,2,15
10427,6000.0,12000.0,4,0,4,7
6619,6000.0,19700.0,2,1,3,16
7628,19.9,79.99,0,1,3,18
4338,71.75,287.0,0,1,3,14
10361,6000.0,12000.0,4,1,3,9
8597,27.5,89.99,0,0,2,14
2597,18360.0,63000.0,4,0,3,18
4135,7000.0,21000.0,4,0,3,18
3892,52.5,209.99,0,1,3,1
9181,6000.0,23000.0,4,1,3,22
2129,29.99,99.99,0,1,3,18
73,10000.0,30000.0,4,0,3,3
3053,27.25,109.0,0,0,2,14
6896,11000.0,33000.0,4,0,3,18
6168,8800.0,26000.0,4,0,2,1
646,89.9,259.9,0,1,3,18
2456,61.7,189.0,0,1,2,1
10190,10.0,19.9,0,0,4,21
1882,6000.0,18000.0,4,1,4,18
1782,17.97,59.9,0,0,4,14
4658,5800.0,17000.0,4,1,4,21
523,94.75,379.9,0,0,3,12
23,9900.0,31500.0,4,1,3,19
4135,47.6,238.0,0,0,3,21
7630,4500.0,17990.0,2,1,4,15
1014,4500.0,10000.0,4,1,4,22
8094,27.0,89.99,0,1,3,5
5254,69.9,250.0,0,0,4,3
8026,14000.0,42000.0,4,1,4,12
8295,5000.0,34000.0,4,1,3,16
7914,49.0,149.0,0,1,3,18
3223,56.7,189.0,0,1,4,18
8790,62000.0,1.979,4,0,3,15
8094,52.96,119.9,0,0,0,18
8597,10.0,24.9,0,1,3,18
8746,4.45,79.9,0,1,2,5
2205,35.59,339.0,0,1,3,12
6862,24.9,59.9,0,0,3,19
7072,39.0,129.99,0,1,2,22
1014,2500.0,13000.0,4,1,0,3
7858,22.48,69.9,0,0,4,14
560,9000.0,15467.566824463362,4,1,0,18
6619,15750.0,42500.0,2,0,3,15
5325,50.0,199.99,0,0,3,1
1357,25000.0,64000.0,4,0,3,16
2649,17.95,59.9,0,0,2,3
9573,6000.0,21000.0,4,0,4,18
10361,19.9,69.99,0,1,0,12
4918,14.9,49.99,0,1,2,18
3740,14.89,249.9,0,0,2,14
7933,89.9,238.0,0,1,4,1
1757,14000.0,39000.0,2,1,2,18
6679,17.9,39.0,0,1,3,14
6659,10.98,409.0,0,0,0,14
1748,12000.0,39000.0,4,1,4,18
9904,36.0,101.0,0,1,3,19
3721,5000.0,14000.0,4,1,3,18
10045,28.9,73.9,1,1,3,12
9460,59.6,149.99,0,1,2,19
5395,12000.0,42000.0,4,0,3,21
5395,11000.0,48000.0,4,1,3,9
10361,10.26,83.63,0,1,2,14
8597,27.0,109.0,0,0,3,5
193,219.0,729.99,0,1,4,22
2187,18.0,59.99,0,1,3,21
1912,56.97,189.9,0,0,2,22
3443,14.7,49.0,0,1,0,19
3879,20000.0,60000.0,4,1,3,1
1027,18000.0,54000.0,4,1,4,18
9439,34.35,299.9,0,1,2,1
5454,12500.0,37500.0,4,1,3,15
348,27.49,109.95,0,1,4,14
5351,19.98,79.9,0,0,0,14
3721,24.75,99.0,0,1,1,5
7706,61.39,399.9,0,0,2,1
8094,37.5,149.99,0,0,2,18
6211,3000.0,13000.0,2,1,4,5
3175,7000.0,23000.0,2,1,2,18
8597,10.0,29.0,0,1,4,19
8077,30000.0,42000.0,2,1,3,18
7057,35500.0,1.8,4,1,3,16
6366,34.7,99.0,0,0,2,22
1675,5000.0,15000.0,4,1,2,10
3866,20.0,69.0,0,1,2,14
10361,4000.0,9000.0,4,1,3,9
5136,14.9,49.99,0,1,4,3
7773,100.0,515.9,0,1,4,18
646,21.16,219.9,0,0,3,19
398,62.9,159.9,0,1,0,1
9012,22.75,150.0,0,1,3,6
10361,4800.0,11000.0,4,1,1,0
2407,103.0,349.0,0,1,3,6
8168,11.5,59.9,0,1,2,14
2037,23.9,59.9,0,1,3,18
2187,7000.0,24500.0,2,1,4,22
8763,14500.0,15467.566824463362,4,0,3,18
76,19200.0,59000.0,4,0,3,18
9625,9000.0,32000.0,2,1,2,15
2187,19.9,119.0,0,1,3,18
3474,63.97,219.9,0,1,3,0
3474,10000.0,45000.0,4,1,2,7
8699,6000.0,23900.0,2,1,3,21
5571,30.51,89.9,1,1,2,19
1638,42.5,149.99,0,1,2,5
7581,28.0,80.0,0,1,3,22
1014,2000.0,5000.0,4,1,4,15
9084,23.7,79.0,0,0,3,18
8094,25.0,99.99,0,0,3,5
1014,1500.0,6000.0,4,1,4,3
9439,54.9,150.0,0,1,4,1
4199,25.2,210.0,0,1,3,18
5395,10000.0,39000.0,4,1,3,1
646,68.97,229.9,0,1,3,0
8699,24000.0,69900.0,2,1,3,2
90,48.72,129.9,0,0,2,22
1014,2000.0,15467.566824463362,4,1,4,3
5275,7000.0,24900.0,4,0,3,21
8578,23.9,49.9,0,1,3,3
5395,10000.0,39000.0,4,0,4,21
4187,22.5,89.99,0,1,2,18
7609,16.47,54.9,0,1,3,22
5477,22.35,74.5,0,0,4,14
10230,9.06,59.9,1,1,3,12
5242,69.0,179.0,1,1,3,6
10361,7200.0,15000.0,4,1,4,18
2319,12000.0,38000.0,2,1,2,18
1702,8000.0,41000.0,4,1,3,4
5640,15.34,51.14,0,1,4,12
398,4550.0,21000.0,4,1,2,19
5571,30.0,124.0,1,1,3,18
6,65.0,289.0,0,1,3,6
7231,16000.0,46900.0,4,1,3,9
6366,59.9,200.0,0,1,3,18
3383,183.99,300.0,1,1,3,14
4591,10850.0,46500.0,2,1,3,1
6067,23.35,77.84,0,1,2,22
8597,17.0,39.99,0,1,0,18
3229,25000.0,79000.0,4,1,4,18
8597,20.0,69.9,0,1,4,18
10124,20.7,69.0,0,0,3,18
10361,8000.0,24000.0,4,1,2,1
10087,19.98,79.9,0,0,3,18
1355,11000.0,45000.0,4,1,4,22
8077,16000.0,98000.0,2,0,3,22
2187,8000.0,24000.0,4,1,3,18
4172,1.0,3.1,4,1,4,2
3474,99.9,349.99,0,0,0,14
8641,14400.0,39000.0,4,1,2,9
6619,13500.0,38000.0,4,1,3,15
5395,11000.0,36000.0,4,1,2,9
7317,25.0,104.0,0,1,2,6
10302,21.0,69.99,0,1,3,18
6944,16.45,89.9,0,0,2,12
2187,39.0,130.0,0,0,2,21
2002,9000.0,27000.0,4,0,3,3
2830,24.98,99.9,0,1,4,14
3228,121.25,620.0,0,0,3,14
7302,136.75,547.0,0,0,2,0
4364,4800.0,13000.0,4,1,0,1
76,7000.0,35000.0,4,0,3,10
2597,19200.0,48000.0,4,0,3,15
8537,15000.0,61000.0,4,0,3,18
9825,39.6,99.0,0,1,3,1
7195,9000.0,25000.0,4,1,2,14
8601,35.0,139.0,0,1,0,18
2754,10000.0,30000.0,4,0,0,3
5395,13000.0,49000.0,4,0,3,5
9491,5000.0,13900.0,4,1,3,10
3474,32.99,329.9,0,0,3,14
1937,25.9,69.9,0,1,4,22
2597,177.0,590.0,0,0,2,18
10361,6000.0,13900.0,2,1,4,18
4199,48.32,203.89,0,0,3,18
1856,23.85,159.0,0,1,2,1
1702,6000.0,21000.0,4,1,4,12
3896,63.6,159.99,0,1,0,12
2317,53.7,179.0,0,0,3,16
1748,8000.0,39000.0,3,1,3,2
8104,30.0,99.99,0,1,2,1
2122,12.25,49.0,0,1,3,18
2754,11000.0,25000.0,4,1,4,21
7247,10500.0,47000.0,4,1,2,22
8601,8.07,49.9,0,0,0,10
10361,4800.0,12000.0,4,1,3,13
1027,30000.0,75000.0,4,1,3,19
4318,11.14,69.9,0,1,0,18
1355,10000.0,38000.0,4,0,3,15
8094,17.48,69.9,0,0,3,5
7987,5500.0,16000.0,4,1,4,1
10361,6000.0,18000.0,4,0,4,18
8578,19.9,65.9,0,1,3,14
3689,49.99,119.9,0,1,3,1
8699,9600.0,32000.0,4,1,2,21
2127,30.0,49.0,0,1,3,14
10361,4000.0,10000.0,4,1,0,18
1782,14.7,69.99,0,1,4,19
3178,7000.0,21000.0,4,0,3,9
8597,15.0,49.99,0,1,4,18
4906,41.65,119.0,0,0,3,3
5782,50.0,199.99,0,0,3,14
8931,9000.0,18000.0,4,1,3,18
10175,22.48,89.9,0,0,3,1
5553,19000.0,60000.0,2,0,3,14
9205,14.67,69.9,0,0,2,5
7482,11000.0,32000.0,4,0,3,19
7195,6000.0,18000.0,4,0,3,9
4174,390.0,1290.0,0,1,0,16
2115,50.0,199.99,0,0,3,3
532,5000.0,16000.0,4,1,3,12
2033,28.0,79.99,0,1,2,18
7124,37.7,109.0,0,1,1,18
4120,120.0,510.0,1,1,2,16
6211,2500.0,1300.0,2,1,4,18
3428,28.0,69.0,0,1,2,12
1675,57.57,299.0,0,0,3,21
6619,18000.0,59800.0,2,0,4,1
7783,20.99,139.9,0,0,3,18
9460,21000.0,73000.0,4,1,3,18
761,30.9,69.9,0,1,3,3
6169,19.6,59.9,0,1,3,14
5895,19000.0,69000.0,4,0,3,18
23,39.9,99.99,0,0,3,12
2319,12000.0,38000.0,4,0,3,22
7072,7000.0,21900.0,4,0,4,1
1693,7650.0,24500.0,4,0,3,9
6067,3600.0,16000.0,4,1,3,3
9371,10000.0,35000.0,4,1,2,18
76,9000.0,31000.0,4,1,3,18
3960,25.14,79.0,0,1,0,14
8460,8000.0,24900.0,4,1,3,15
9979,11.05,59.99,0,1,2,18
4462,25.0,69.9,0,0,3,1
10361,7000.0,17000.0,4,1,3,18
4225,20.9,69.9,0,1,3,18
271,13000.0,37000.0,4,0,3,3
460,39.9,119.99,0,1,2,19
1136,12.75,49.9,0,1,3,18
8802,5530.0,15467.566824463362,4,0,3,20
4318,26.7,89.0,0,1,2,1
7692,20.0,50.0,0,0,4,3
5773,29.59,199.0,0,1,3,18
4462,12.0,89.9,0,1,2,19
646,5000.0,15000.0,4,1,3,22
8699,10000.0,49000.0,4,1,0,18
646,6000.0,28900.0,4,1,3,2
6448,37000.0,1.11,4,1,4,12
158,9600.0,32000.0,4,1,3,1
5395,9000.0,27000.0,4,1,3,9
9439,20000.0,70000.0,4,1,4,12
9460,30.0,149.99,0,1,3,3
3721,3500.0,12300.0,4,1,2,15
2597,10000.0,35000.0,4,0,3,1
8597,14.97,49.9,0,1,2,14
1357,22800.0,66500.0,4,1,0,18
1175,32.7,109.0,0,0,3,18
6152,4500.0,33000.0,4,1,3,18
2973,7000.0,28000.0,4,1,3,1
5366,12500.0,43000.0,4,0,0,0
1357,319.2,798.0,0,0,3,14
299,60480.0,3.024,2,0,3,3
10225,11.29,72.9,0,0,3,18
7271,12.37,89.99,0,1,3,18
9919,32000.0,94000.0,4,1,4,2
4199,4800.0,13000.0,4,0,3,16
8501,50.5,129.99,0,1,3,12
8601,21.9,69.9,0,1,3,14
10277,19.94,129.99,0,0,3,18
614,27.0,89.99,0,1,2,21
8597,15.3,59.99,0,1,2,18
2319,61.6,289.9,0,0,3,16
3721,3500.0,13000.0,4,1,3,2
5395,12000.0,48000.0,4,0,2,10
10361,15000.0,30000.0,4,1,3,18
7754,10000.0,29900.0,4,0,3,1
2597,18000.0,64000.0,4,0,3,1
892,19.9,59.99,0,1,4,14
9460,77.96,194.9,0,0,3,22
499,40.0,79.99,0,1,0,1
7357,33.52,149.0,0,0,3,12
1014,4800.0,12000.0,4,0,0,3
5875,19.9,59.99,0,1,2,14
4872,16800.0,42000.0,4,0,2,16
1569,69.0,229.99,0,1,3,18
8597,25.0,99.99,0,1,2,14
9371,16000.0,69000.0,4,1,3,4
76,262.33,1498.99,1,0,3,19
1638,6300.0,27600.0,4,1,3,19
5227,4000.0,14000.0,4,0,4,19
6111,15000.0,29000.0,4,0,4,12
4793,12000.0,39000.0,3,0,3,18
1733,37.0,179.0,0,1,3,6
2162,131.97,527.89,0,0,3,1
9469,37000.0,1.225,4,1,3,16
947,92.5,350.0,0,0,3,18
523,36.0,159.99,0,0,4,22
5395,121.63,477.0,0,1,3,3
1331,22.5,69.9,0,1,3,14
8527,3000.0,10000.0,2,1,4,19
1564,14.9,39.99,0,1,3,14
289,79000.0,2.9,4,0,3,18
3636,11.25,45.0,0,1,0,18
8641,12000.0,53000.0,4,1,3,12
2187,119.8,599.0,0,1,4,1
8210,40.0,129.99,0,0,4,19
9439,8000.0,23000.0,4,1,3,5
5395,14400.0,49000.0,4,1,2,3
4135,45.15,129.0,0,0,2,19
4135,119.2,298.0,0,0,2,14
3474,10000.0,30000.0,4,1,0,15
8077,14500.0,99000.0,2,1,2,18
10361,20.7,69.0,0,1,0,14
798,50.0,140.0,1,1,3,6
1027,29000.0,87000.0,4,1,0,14
125,17.97,59.9,0,0,0,0
523,13.62,498.0,0,1,3,21
7483,22.9,55.9,0,1,2,14
3474,59.9,159.99,0,1,0,14
8699,9000.0,27900.0,2,0,0,1
8521,31.7,89.0,0,0,2,10
7858,24.98,99.9,1,1,4,3
1181,50.0,219.9,0,0,2,14
8641,13000.0,30000.0,4,1,3,1
5157,24.99,59.99,0,0,2,22
8597,11.7,39.0,0,1,0,20
4318,30.0,99.99,0,0,2,3
8601,19.0,30.0,0,1,2,6
1357,13000.0,43000.0,4,1,3,1
8716,40.16,189.0,0,1,3,1
5395,20000.0,97000.0,4,1,2,3
10361,4000.0,14000.0,4,0,3,16
3445,28800.0,72000.0,4,1,3,18
9491,5000.0,14000.0,4,1,3,18
3892,8500.0,36000.0,4,0,3,1
7462,36400.0,1.56,4,1,3,2
5868,55.0,219.99,0,1,3,12
6168,10000.0,36000.0,2,0,3,21
6107,14000.0,42000.0,4,0,0,10
7987,53.97,139.9,1,0,4,1
3644,43.6,109.0,1,1,4,12
523,91.6,458.0,0,0,3,14
3381,17.97,59.9,0,1,0,18
13,10.43,59.9,0,0,3,1
7072,29.97,99.9,0,0,2,18
6933,7000.0,25000.0,4,1,3,23
4418,19000.0,46900.0,4,0,3,15
6154,74.98,399.9,0,0,2,18
1692,9000.0,31500.0,4,1,3,5
2187,49.99,159.9,0,0,2,14
1313,38.7,129.0,0,0,3,12
9605,15000.0,42000.0,4,0,4,18
8258,13000.0,41700.0,2,1,3,3
1312,152.0,380.0,0,0,3,18
7342,50.0,139.9,1,1,2,14
2729,4900.0,19000.0,4,1,4,18
1782,24.0,79.99,0,1,0,14
8699,9000.0,27000.0,2,1,2,12
523,9000.0,36000.0,4,1,3,18
9180,15.9,39.9,0,1,2,14
5395,12000.0,43000.0,4,1,3,18
1782,28.27,109.5,0,0,4,19
3609,11000.0,44000.0,2,1,3,1
5772,39.0,165.0,0,1,3,18
2973,92.25,349.0,0,0,0,1
3215,26.97,89.9,0,1,3,18
7072,28.27,209.9,0,1,1,22
747,13000.0,39000.0,4,0,3,9
3313,7000.0,26000.0,4,0,3,18
1355,12000.0,36000.0,4,1,3,5
6619,14950.0,49800.0,2,0,3,1
8597,14.98,59.9,0,1,2,19
1980,25.0,79.99,0,0,2,16
7396,40800.0,1.29,4,0,4,17
9460,10000.0,31000.0,4,1,2,15
2568,29.9,99.99,0,1,0,1
8460,6000.0,16990.0,4,1,3,18
4364,4800.0,13000.0,4,1,2,15
7423,42.48,149.9,0,1,3,14
8597,33.0,169.0,0,0,4,21
4767,10000.0,35000.0,4,0,3,16
3644,20.0,69.9,0,0,0,14
4225,23.9,79.9,0,1,4,5
7072,10000.0,31000.0,4,1,2,14
565,2.59,49.9,0,0,3,18
5807,10000.0,35000.0,4,1,3,2
2801,19.98,79.9,0,0,2,14
3888,7900.0,15467.566824463362,4,1,3,3
3313,12000.0,39000.0,4,0,3,5
9460,9500.0,28900.0,4,1,3,5
10325,87.5,350.0,0,0,2,20
4295,89000.0,2.93,4,0,3,9
4968,27.3,129.99,0,1,2,3
3474,7000.0,24500.0,4,1,3,18
10361,7500.0,28000.0,4,0,4,14
523,9000.0,24000.0,4,1,2,14
6162,12000.0,49000.0,4,0,4,7
6803,22.9,69.9,0,0,2,14
5809,4000.0,10000.0,4,1,2,18
9183,16800.0,36000.0,4,0,2,18
6111,42000.0,1.7,4,1,4,22
4906,26.97,89.9,0,0,2,18
6168,65.9,248.99,0,0,3,14
10361,8000.0,21000.0,4,0,0,4
1014,2000.0,15467.566824463362,4,1,4,3
6008,12500.0,33500.0,2,0,2,21
6659,14000.0,42000.0,4,1,3,21
4767,80.0,320.0,0,0,4,14
5237,48.97,139.9,1,1,3,22
3313,39.0,129.99,0,0,3,18
4693,33.72,149.9,0,0,3,1
5674,18.0,90.0,0,0,3,18
1924,40.8,109.99,0,0,2,18
5719,18000.0,54000.0,4,1,4,12
9237,20.97,69.9,0,0,4,3
8597,10.0,29.99,0,1,0,3
3474,7000.0,28000.0,4,1,3,18
9919,45000.0,85000.0,4,1,4,18
5275,7700.0,34000.0,4,0,3,2
4536,9000.0,29000.0,4,0,4,2
8528,28.6,89.95,0,1,0,14
3892,26.9,89.9,0,1,2,19
1675,66.0,219.99,0,0,3,14
2323,34.75,139.0,0,0,0,16
1977,6.75,59.99,0,0,3,14
6619,19500.0,15467.566824463362,4,0,3,21
6864,27.0,79.0,0,1,0,18
9439,24000.0,70000.0,4,0,4,12
1638,30.79,239.99,0,1,3,20
2187,10000.0,39000.0,4,1,3,9
4199,4000.0,12000.0,4,1,2,19
10361,4500.0,12000.0,4,1,3,18
8394,16.5,59.9,0,0,2,18
4767,8000.0,29000.0,4,0,3,9
5395,10000.0,39000.0,4,0,3,2
1355,10000.0,42000.0,4,1,3,16
8597,12.0,39.99,0,1,0,21
7402,5500.0,15467.566824463362,4,1,4,19
8295,5000.0,14000.0,2,1,4,19
3721,34.67,89.9,0,0,3,14
6619,9540.0,15467.566824463362,2,1,3,18
1472,42.0,140.0,0,1,3,1
2796,94.32,329.9,0,0,3,12
5915,47.0,155.9,0,1,1,0
4393,156.75,950.0,0,1,0,18
8790,21600.0,47900.0,2,0,3,14
3721,30.25,121.0,0,0,3,12
1740,48.21,759.0,0,1,3,19
89,5000.0,10000.0,4,1,0,1
7500,18000.0,59000.0,4,0,3,18
7231,16000.0,15467.566824463362,4,0,3,9
9919,6700.0,15467.566824463362,4,1,4,2
1588,8400.0,35000.0,4,0,3,3
4616,5000.0,16000.0,2,1,2,3
4693,42.5,149.99,0,0,3,21
3888,12000.0,47000.0,4,1,4,18
5227,10000.0,32000.0,4,0,3,2
10361,5000.0,17900.0,4,1,3,20
10102,17.7,59.0,0,0,1,14
8051,7000.0,19000.0,4,1,2,3
8295,8000.0,32000.0,4,1,4,10
3324,8.81,629.99,0,1,3,12
4199,4800.0,13000.0,4,1,3,14
8601,22.45,55.9,0,1,2,1
1357,12000.0,49000.0,4,0,2,16
3892,12000.0,36000.0,4,1,2,6
7302,12000.0,39000.0,4,1,3,1
6373,3000.0,7900.0,2,1,3,5
3372,3500.0,28000.0,2,1,3,18
4901,67.93,207.0,1,0,0,1
5559,5.62,49.99,0,1,3,14
4710,12500.0,43000.0,3,1,0,5
3284,62.9,179.9,0,0,2,12
9999,27.0,37.9,0,1,3,19
1638,50.7,169.0,0,1,3,18
5244,9000.0,27000.0,4,0,2,2
9605,29000.0,95000.0,4,1,0,18
4373,32.63,180.0,0,0,4,14
8597,10.0,15.9,0,1,3,22
4869,9.17,69.9,0,1,3,12
6769,99.99,339.99,0,0,3,22
4199,4000.0,9000.0,4,0,3,18
9975,12500.0,35000.0,3,0,3,0
6300,35.0,149.9,0,0,2,0
7858,14.7,49.9,0,1,4,21
6596,9000.0,27000.0,4,0,3,9
523,9000.0,46000.0,4,0,3,18
10361,6000.0,21000.0,4,1,4,18
6225,22.5,89.99,0,0,2,5
1357,19000.0,49000.0,4,1,2,2
7195,50.0,239.9,0,1,3,1
4052,43800.0,1.26,4,0,3,22
892,15.0,51.86,0,1,4,5
1782,20.97,69.9,0,1,4,3
4199,2400.0,5000.0,4,1,4,18
3888,7000.0,28000.0,4,1,2,15
523,18000.0,75000.0,4,1,3,19
3702,11000.0,39000.0,4,0,3,19
5395,9000.0,32000.0,4,1,3,22
10361,42.5,169.99,0,0,4,12
6049,52.5,150.0,0,1,0,5
3892,26.7,89.0,0,1,0,1
646,9000.0,32000.0,4,1,4,0
6223,37.5,99.9,0,1,3,18
1564,30.0,119.9,0,1,3,18
1786,2400.0,4000.0,4,1,4,1
1984,29.98,159.9,0,1,2,14
8597,15.9,69.0,0,1,2,3
4507,6000.0,23000.0,4,1,3,1
7862,10.0,39.9,0,1,3,3
10500,40.0,80.0,0,1,5,6
6240,10000.0,37000.0,4,1,2,1
2002,7000.0,18000.0,4,1,3,3
4767,15000.0,52500.0,2,1,0,18
1014,1500.0,4000.0,4,1,4,14
458,11000.0,38500.0,4,1,3,22
10361,23.96,59.9,0,0,3,3
4364,45.0,169.99,0,1,3,3
2276,29.97,99.9,0,1,0,14
6342,10.0,40.0,0,1,2,22
8295,16000.0,39000.0,4,0,3,18
5395,180.0,800.0,0,1,2,12
532,10000.0,32000.0,4,1,2,22
6619,7000.0,82000.0,4,1,3,4
2027,1.1,4.0,4,1,3,18
3255,22.5,89.99,0,0,4,14
10361,4000.0,11000.0,4,1,2,15
6500,14.43,79.9,0,1,0,19
5571,12.95,219.0,0,1,3,14
1565,36.0,90.0,0,1,2,21
3633,99.99,728.0,0,0,3,14
10138,44.94,159.76,0,0,2,1
1921,14000.0,43000.0,4,1,3,1
2743,4000.0,14000.0,4,1,4,18
3229,49000.0,1.69,2,1,4,18
3313,9500.0,20000.0,4,0,3,14
8597,35.0,89.9,0,1,2,14
4764,28.0,89.99,0,0,0,3
7377,22.25,89.0,0,1,3,14
4591,6230.0,39000.0,2,0,3,1
5469,9000.0,31500.0,4,0,3,9
9439,18000.0,47000.0,4,1,4,6
641,24.0,79.99,0,1,3,3
1957,64.0,159.99,0,0,2,14
8538,17000.0,69000.0,2,1,4,3
1014,7200.0,13000.0,4,1,0,19
6619,16170.0,53900.0,2,0,3,2
224,8000.0,32000.0,4,1,4,10
8094,10.45,41.9,0,0,3,22
8195,42.0,145.0,0,1,3,12
73,10000.0,32000.0,4,1,3,21
5243,3000.0,9000.0,4,1,4,17
6101,17.48,69.9,0,0,1,14
4896,14.01,49.9,0,1,2,20
3178,100.0,200.0,0,0,4,0
4983,36550.0,1.3,4,1,2,18
6619,12000.0,49000.0,4,0,2,18
6414,14.9,49.99,0,1,3,1
9332,104.0,260.0,1,1,0,21
9469,29000.0,90000.0,4,1,3,2
7570,210.0,599.99,0,0,2,18
1355,12000.0,36000.0,4,1,3,18
10500,30.0,70.0,0,1,5,6
3474,10000.0,32000.0,4,1,3,9
4983,19000.0,60000.0,4,0,3,21
7100,14000.0,42000.0,4,0,3,19
8164,26.7,89.0,0,1,3,20
8094,10.61,59.9,0,0,3,14
8931,12000.0,45000.0,4,0,3,18
9421,5.96,79.99,0,1,3,14
9605,13000.0,39000.0,2,1,2,15
6659,10000.0,39000.0,4,0,3,9
4064,10850.0,1.9,4,0,4,18
9806,20.7,89.9,0,0,0,21
10302,35.97,119.9,0,1,3,1
5587,35000.0,99800.0,2,0,3,19
7231,15000.0,37000.0,4,1,3,3
7100,14000.0,49000.0,2,1,3,15
7486,30.2,90.0,0,1,2,14
523,8000.0,31000.0,4,0,3,13
3721,33.21,83.02,1,1,2,19
3268,42.46,209.9,1,1,2,5
3721,7000.0,15467.566824463362,4,1,3,22
5310,18000.0,39000.0,4,0,3,2
1971,3000.0,7000.0,4,1,0,1
2597,15600.0,45000.0,4,0,3,3
523,12000.0,42700.0,4,0,3,5
178,21600.0,75600.0,4,0,2,14
2847,29000.0,78900.0,4,0,4,18
2187,10000.0,31000.0,4,0,3,18
6015,50.0,149.99,0,0,3,14
6852,19.98,79.9,0,1,0,18
5008,14.97,129.9,0,0,3,18
8094,12.48,49.9,0,0,1,14
8716,6500.0,25000.0,4,0,4,9
9439,8000.0,26000.0,4,1,2,3
1638,150.0,698.0,0,1,3,21
4135,9000.0,27000.0,4,1,3,13
9123,25.0,69.0,0,0,3,12
5395,9000.0,31500.0,4,1,3,3
4199,30.0,99.99,0,1,3,14
1042,14000.0,58000.0,4,0,4,22
947,7000.0,29000.0,4,1,2,5
9891,37.6,109.0,0,0,3,5
5212,8000.0,21000.0,4,1,3,3
10361,39.98,139.9,0,1,0,14
2856,20.97,69.9,0,1,3,19
1060,10.31,79.99,0,1,3,1
1395,15.6,39.9,0,1,3,3
5227,8000.0,28000.0,4,0,2,1
8094,32.9,99.9,0,0,3,3
5395,129.99,449.99,0,0,3,1
3383,183.99,350.0,1,1,1,14
7299,16.15,79.99,0,1,4,21
4014,19.9,49.9,0,1,1,19
10361,5000.0,17900.0,4,1,3,18
8094,35.97,119.9,0,0,3,20
352,10000.0,45000.0,4,1,3,18
1638,28.0,120.0,0,1,4,6
8787,23.9,79.9,0,0,3,12
7987,25.66,128.29,0,0,0,22
8597,29.75,119.0,0,1,2,12
89,4500.0,10000.0,4,0,2,15
4539,12000.0,36000.0,2,0,3,2
601,9800.0,49000.0,4,1,2,1
8597,5.0,39.0,0,1,4,18
5454,18000.0,49000.0,4,0,3,3
4563,50000.0,1.75,4,1,3,18
10361,4800.0,12000.0,4,1,3,22
1848,89.9,219.9,0,0,3,20
4934,4.28,55.0,0,1,2,18
1357,14000.0,30000.0,4,1,2,5
5587,18000.0,63000.0,4,1,3,12
5030,32.97,109.0,0,0,3,22
3075,50.4,168.0,0,0,3,22
1904,50000.0,1.5,4,0,4,18
8304,43.7,129.0,0,0,2,14
6619,26400.0,69000.0,4,1,3,3
1675,11000.0,32000.0,4,1,3,18
7215,29.9,89.99,0,1,4,14
8716,8400.0,28000.0,4,1,2,18
8148,15.9,49.9,0,1,2,5
5638,12500.0,40000.0,2,0,0,0
6619,32700.0,1.09,2,0,3,16
10361,6000.0,21000.0,4,0,3,18
3252,8000.0,36000.0,4,1,3,1
3836,9000.0,30000.0,4,0,2,10
5469,9000.0,29000.0,2,0,3,9
3585,32.66,189.99,0,1,3,5
3453,14.0,27.99,0,1,4,20
1786,1800.0,3500.0,4,1,4,18
8094,30.17,119.9,0,1,2,1
7987,19000.0,49000.0,4,1,2,1
3540,59970.0,6.9965,4,1,4,18
3892,27.48,89.9,0,1,4,5
3892,4000.0,17000.0,4,1,2,5
6619,15750.0,52500.0,2,0,2,15
4203,12.0,59.99,0,0,3,1
6575,12000.0,33000.0,4,1,2,18
6732,25000.0,69000.0,4,0,3,14
8931,17000.0,39000.0,4,0,2,3
6152,10800.0,27000.0,4,0,3,12
532,5000.0,17900.0,4,1,3,14
579,79.88,319.5,0,0,2,21
4135,9000.0,27000.0,4,1,3,0
1472,118.75,650.0,0,0,4,1
3721,4000.0,9000.0,4,1,2,18
1638,56.7,189.0,0,1,0,18
1330,29.7,99.0,0,1,3,1
523,11000.0,50000.0,4,0,3,18
9184,31.96,79.9,1,0,3,12
3424,22.48,89.9,0,1,4,21
8597,26.7,89.0,0,1,0,1
10361,5000.0,12000.0,4,1,3,12
2847,10500.0,36800.0,4,0,3,21
41,24.75,99.0,0,0,3,14
3090,150.0,219.0,1,1,4,14
6152,12000.0,36000.0,4,1,3,9
5571,25.0,125.0,1,1,2,6
4767,90.0,299.99,0,1,3,14
4658,13500.0,22700.0,4,1,4,3
6090,1.1,2.85,4,0,3,18
1782,14.97,49.9,0,0,4,12
158,7000.0,24000.0,2,1,0,18
